name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description	soz	epz	rz
EKGR	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	n/a	n/a	n/a	n/a
LM	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	n/a	n/a	n/a	n/a
C96	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C98	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C99	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C100	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C101	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C102	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C103	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C104	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C105	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C106	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C107	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C108	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C109	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C110	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C111	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C112	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C113	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C114	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C115	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C116	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C117	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C118	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C119	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C120	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C121	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C122	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C123	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C124	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C125	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C126	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C127	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
C128	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	bad	Excel-labeled	n/a	n/a	n/a
